Date,Open,High,Low,Close*,Adj Close**,Volume
12/30/2011,"12,286.28","12,290.06","12,213.78","12,217.56","12,217.56","96,670,000"
12/29/2011,"12,152.32","12,293.96","12,152.09","12,287.04","12,287.04","8,410,000"
12/28/2011,"12,288.85","12,299.11","12,140.17","12,151.41","12,151.41","84,010,000"
12/27/2011,"12,293.47","12,328.47","12,269.97","12,291.35","12,291.35","95,980,000"
12/23/2011,"12,169.88","12,297.44","12,169.80","12,294.00","12,294.00","80,420,000"
12/22/2011,"12,107.59","12,182.71","12,107.37","12,169.65","12,169.65","151,610,000"
12/21/2011,"12,103.58","12,119.70","11,999.44","12,107.74","12,107.74","163,250,000"
12/20/2011,"11,769.21","12,117.13","11,768.83","12,103.58","12,103.58","165,180,000"
12/19/2011,"11,866.54","11,925.88","11,735.19","11,766.26","11,766.26","135,170,000"
12/16/2011,"11,870.25","11,968.18","11,819.31","11,866.39","11,866.39","389,520,000"
12/15/2011,"11,825.29","11,967.84","11,825.22","11,868.81","11,868.81","136,930,000"
12/14/2011,"11,949.72","11,950.02","11,786.47","11,823.48","11,823.48","161,240,000"
12/13/2011,"12,018.66","12,147.70","11,904.38","11,954.94","11,954.94","171,910,000"
12/12/2011,"12,181.08","12,181.38","11,940.86","12,021.39","12,021.39","149,050,000"
12/9/2011,"11,996.03","12,212.83","11,995.51","12,184.26","12,184.26","154,250,000"
12/8/2011,"12,195.91","12,195.91","11,966.22","11,997.70","11,997.70","165,880,000"
12/7/2011,"12,144.41","12,257.67","12,060.37","12,196.37","12,196.37","168,440,000"
12/6/2011,"12,097.75","12,215.71","12,076.71","12,150.13","12,150.13","145,920,000"
12/5/2011,"12,021.54","12,186.53","12,021.46","12,097.83","12,097.83","153,830,000"
12/2/2011,"12,022.37","12,146.68","12,007.12","12,019.42","12,019.42","150,110,000"
12/1/2011,"12,046.21","12,062.64","11,974.62","12,020.03","12,020.03","143,700,000"
11/30/2011,"11,559.27","12,045.68","11,559.27","12,045.68","12,045.68","286,790,000"
11/29/2011,"11,523.01","11,624.01","11,517.04","11,555.63","11,555.63","156,950,000"
